id_imovel;id_proprietario;nome_proprietario;cpf;endereco;bairro;cidade;data_anuncio;tipo_imovel;metragem;quartos;banheiros;valor;valor_iptu;sistema_origem
31;P005; Bruno Rocha ;52611197462;Rua D 120;Pinheiros;SAO PAULO;21-01-2023;Apto;141;5;4;2.584.060,00;2676;
32;P037;Carlos Lima;121.883.788-44;Rua P 133;Itaim;São Paulo;29/01/2023;casa;-;4;4;-1350119;2375;CRM
33;P036; Helena Prado ;190.422.358-51;Rua V 139;Itaim;São Paulo;2023-01-11;apartamento;204;5;3;1683296;5927;null
34;P032; Helena Prado ;34523330506;Rua R 4;Vila Mariana;Sao Paulo;25/01/2023;Loft;144m2;1;4;-2603594;2859;CRM
35;P036; Pedro Santos ;22300902025;Rua Y 107;Jardins;SAO PAULO;2023/01/23;Loft;-;1;3;1446827;4368,00;API
36;P021;Rafael Nunes;814.344.685-59;Rua K 191;Itaim;SAO PAULO;22-01-2023;Casa;116m2;-;2;2558970;4951;
37;P010; MARIA SOUZA ;900.371.446-89;Rua K 173;Vila Mariana;São Paulo;31-01-2023;Loft;91m2;5;1;718221;1680;null
38;P007;CARLOS LIMA;48895735906;Rua L 111;Moema;Sao Paulo;22-01-2023;casa;-;-;2;679.078,00;5691;Planilha
39;P030; JULIANA COSTA ;109.923.576-46;Rua C 114;Jardins;SAO PAULO;2023/01/28;Cobertura;163m2;4;3;-2745938;4277;
40;P026; PATRICIA GOMES ;95515448654;Rua J 199;Moema ;SAO PAULO;2023/01/13;apartamento;287;-;2;1899557;2918,00;null
41;P009; Bruno Rocha ;402.434.865-63;Rua Z 139;Jardins;SAO PAULO;2023/01/24;Loft;-;2;3;465350;5247;
42;P036;Patricia Gomes;25189462425;Rua L 173;Pinheiros;SAO PAULO;11-01-2023;Loft;98;-;3;890.377,00;3755;CRM
43;P008; Fernanda Alves ;138.411.604-24;Rua M 117;Jardins;SAO PAULO;20-01-2023;casa;-;-;2;565151;2975;
44;P007;Ana Pereira;61799668213;Rua G 32;Itaim;Sao Paulo;20/01/2023;Cobertura;248;-;1;1854115;2434;CRM
45;P010;LUCAS MARTINS;31421266678;Rua Z 45;centro;SAO PAULO;2023-01-05;apartamento;-;1;3;1168880;2408;Planilha
46;P024;Rafael Nunes;211.562.615-38;Rua X 169;Pinheiros;São Paulo;2023-01-06;Apartamento;175;4;4;2065636;4401;
47;P038;Ana Pereira;71396118332;Rua D 180;centro;SAO PAULO;30/01/2023;Casa;267;4;2;1.651.034,00;2752;
48;P031; Lucas Martins ;951.187.195-65;Rua R 16;Jardins;SAO PAULO;2023-01-13;Casa;88m2;3;4;2.089.977,00;1750;CRM
49;P036;Patricia Gomes;880.385.687-38;Rua T 169;Pinheiros;Sao Paulo;12/01/2023;Apto;93;-;3;948.985,00;1386;API
50;P014;AMANDA SOUZA;564.449.261-57;Rua B 40;Moema;SAO PAULO;2023-01-28;Cobertura;113;1;3;895065;1251;
51;P038;Carla Dias;783.415.146-38;Rua G 78;Moema ;Sao Paulo;2023/01/15;Apto;252;3;1;-2448936;4021,00;CRM
52;P003;Helena Prado;68307441616;Rua W 164;Vila Mariana;São Paulo;2023-01-06;Casa;-;1;3;1265154;3401,00;Planilha
53;P020;Gabriela Lima;326.441.897-31;Rua Q 131;Moema ;São Paulo;2023/01/23;Cobertura;85m2;-;2;744022;4792,00;Planilha
54;P037;ANA PEREIRA;55631973575;Rua E 113;centro;São Paulo;07-01-2023;Cobertura;-;3;3;-616054;5644;null
55;P006;Maria Souza;18142728726;Rua Z 147;Moema ;São Paulo;03-01-2023;casa;276m2;2;1;-457736;2851,00;
56;P034;Ana Pereira;67498516318;Rua V 154;Centro;SAO PAULO;2023/01/27;Apartamento;-;3;1;-1023764;4086;null
57;P026; RODRIGO MENDES ;97517171228;Rua E 172;centro;SAO PAULO;24-01-2023;casa;116;3;1;2744186;3041;API
58;P007;PATRICIA GOMES;652.955.856-77;Rua T 97;Moema;Sao Paulo;07/01/2023;Loft;214;-;2;1.250.190,00;2923;
59;P020;Maria Souza;91377304419;Rua O 197;Pinheiros;São Paulo;22-01-2023;apartamento;-;2;2;1495074;2416;API
60;P033; Maria Souza ;547.193.327-67;Rua N 14;Vila Mariana;SAO PAULO;2023/01/28;apartamento;-;4;1;2.463.880,00;1813,00;API
61;P009;FERNANDA ALVES;580.559.730-10;Rua I 56;Moema;SAO PAULO;30-01-2023;Apartamento;90;3;2;-877134;4370;API
62;P010; ANA PEREIRA ;101.729.461-40;Rua V 172;centro;SAO PAULO;2023/01/14;Apartamento;274;5;1;2.396.435,00;4721;
63;P007;HELENA PRADO;57435060578;Rua U 45;Itaim;SAO PAULO;13-01-2023;Cobertura;-;2;2;368.124,00;2475;CRM
64;P003;MARCOS OLIVEIRA;99617921191;Rua I 32;Jardins;São Paulo;07-01-2023;Cobertura;62;4;4;1623704;4948;API
65;P012;Juliana Costa;51493332116;Rua O 155;Vila Mariana;Sao Paulo;16-01-2023;Apto;228;4;1;-2080480;5435;API
66;P010;Gabriela Lima;794.900.548-14;Rua Y 166;Jardins;São Paulo;09-01-2023;casa;-;1;2;2973921;1810;
67;P002;Amanda Souza;44865518008;Rua W 115;Moema ;SAO PAULO;2023/01/25;Cobertura;-;4;2;1839099;2544;CRM
68;P020;Pedro Santos;828.826.817-91;Rua D 52;Moema;Sao Paulo;15-01-2023;Apartamento;128;3;3;1640448;5005;
69;P027;CAMILA FREITAS;70448078471;Rua V 133;Jardins;Sao Paulo;29/01/2023;Loft;73m2;2;4;1970003;4806;null
70;P034;Maria Souza;966.180.356-35;Rua U 78;centro;SAO PAULO;17/01/2023;casa;118;5;2;979338;3334;Planilha
71;P017;Gabriela Lima;12744446292;Rua U 140;Pinheiros;SAO PAULO;2023/01/20;Casa;212;2;4;-640673;5754;API
72;P021;MARCOS OLIVEIRA;981.453.508-26;Rua K 62;Itaim;Sao Paulo;2023/01/02;Casa;265m2;2;2;2331096;1676;CRM
73;P032;MARIA SOUZA;18689476052;Rua Q 118;Moema ;Sao Paulo;2023/01/13;Apartamento;254;1;3;1673365;2055;
74;P026;Gabriela Lima;58080678409;Rua C 99;Itaim;SAO PAULO;2023/01/21;Loft;-;5;1;334298;2666;Planilha
75;P009;Ana Pereira;923.585.631-68;Rua K 157;Jardins;Sao Paulo;26-01-2023;casa;213;-;3;1134909;829,00;null
76;P002;Lucas Martins;371.771.901-84;Rua S 123;Moema;SAO PAULO;17-01-2023;apartamento;193m2;-;2;369780;3912;CRM
77;P040;Rafael Nunes;993.968.853-17;Rua R 84;Itaim;SAO PAULO;04-01-2023;Apto;49m2;2;4;1615721;2170;null
78;P014;Lucas Martins;47459263293;Rua D 147;Vila Mariana;São Paulo;2023/01/22;Loft;175;2;3;1.333.976,00;2938;CRM
79;P036;Patricia Gomes;240.211.730-85;Rua V 136;Moema ;SAO PAULO;03/01/2023;Apartamento;-;1;4;1.375.603,00;4912,00;API
80;P013;HELENA PRADO;394.428.392-92;Rua R 190;Centro;Sao Paulo;25-01-2023;Loft;-;2;1;962452;4396;
81;P035;HELENA PRADO;237.971.616-69;Rua K 42;Itaim;SAO PAULO;2023/01/24;Cobertura;188;2;1;1.551.547,00;3244,00;API
82;P026;Patricia Gomes;289.243.588-51;Rua I 99;Moema ;São Paulo;2023/01/25;Apto;-;3;1;2979010;4721;API
83;P019;Amanda Souza;70787469138;Rua N 180;Itaim;SAO PAULO;02/01/2023;Loft;278m2;2;1;969900;3047;null
84;P021;Marcos Oliveira;90388550541;Rua C 131;Itaim;Sao Paulo;12-01-2023;apartamento;79;5;4;2.597.007,00;4896,00;
85;P028;RAFAEL NUNES;16322497674;Rua N 47;Moema;SAO PAULO;15-01-2023;Apto;51m2;4;4;1367270;5237,00;
86;P015;RODRIGO MENDES;68172949777;Rua H 64;Itaim;São Paulo;31/01/2023;Apto;108;2;1;1048572;1543;CRM
87;P004; Carla Dias ;145.511.549-39;Rua E 129;Pinheiros;Sao Paulo;2023/01/30;casa;48;5;3;-582238;775;Planilha
88;P012;Patricia Gomes;61420595035;Rua Z 135;Jardins;SAO PAULO;22-01-2023;Casa;251m2;2;3;-1454079;5346;
89;P027;Juliana Costa;237.497.348-42;Rua O 95;centro;SAO PAULO;16/01/2023;Apartamento;155m2;3;4;905455;5107;null
90;P013;GABRIELA LIMA;220.864.872-71;Rua M 62;Jardins;São Paulo;03-01-2023;Casa;151m2;5;3;1176144;625,00;API
91;P027; Bruno Rocha ;44429402313;Rua J 40;Moema ;São Paulo;29/01/2023;Casa;294;5;2;2269185;2164;
92;P035;Camila Freitas;655.757.160-77;Rua Y 2;Vila Mariana;Sao Paulo;22/01/2023;Apartamento;171m2;-;2;2991461;3385,00;CRM
93;P001; Roberto Dias ;78793103630;Rua Z 46;centro;Sao Paulo;12/01/2023;apartamento;-;2;3;-2346209;4859;API
94;P006;Bruno Rocha;61941189153;Rua M 142;Itaim;Sao Paulo;2023-01-03;Cobertura;247m2;2;1;2669790;2957;
95;P003;Carla Dias;800.387.656-82;Rua K 5;Moema ;SAO PAULO;11/01/2023;Loft;88;-;4;1186747;5143;CRM
96;P023; PATRICIA GOMES ;93067213321;Rua Y 84;Centro;SAO PAULO;2023/01/08;Loft;209m2;4;4;886995;1142;Planilha
97;P016;Amanda Souza;29902452765;Rua K 93;centro;Sao Paulo;2023-01-13;Apto;-;4;3;2.757.338,00;5567,00;API
98;P006;ANA PEREIRA;48707708214;Rua M 200;centro;SAO PAULO;06/01/2023;casa;-;5;2;2.626.748,00;1234;
99;P031;JULIANA COSTA;469.357.352-90;Rua O 28;Moema;São Paulo;2023-01-10;Casa;177;3;4;-565361;2760;API
100;P026;Marcos Oliveira;53990877390;Rua I 101;Jardins;Sao Paulo;27/01/2023;casa;193m2;5;2;2.830.051,00;3073,00;null
