registro_id;marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado
35;44;7710;2017-1;10-03-2025;R$ 39.900,00;700,00;40600;87000km;BCD4E65;PATRICIA NUNES;369-258-147-10;XX
36;;5940;2014-1;2025-11-20;R$ 88.629,00;1.200,00;89.829,00;120000;EFG7H89;Andre Martins;147.258.369-21;SP
37;59;;2014-1;20/11/2025;88629.00;1200.00;89829.00;120.000;EFG7H89;Andre Martins;14725836921;RJ
38;59;5940;;11-20-2025;88,629.00;1.200,00;89.829,00;120000km;EFG7H89;Andre Martins;147-258-369-21;ZZ
39;21;4828;2018-2;2025-12-01;R$45.990,00;900,00;46.890,00;98000;;Bruna Carvalho;789.456.123-55;SP
40;XX;6831;2020-1;01/12/2025;73500;1000;74500;65000;HIJ1K23;Bruna Carvalho;78945612355;RJ
41;22;9120;2019-3;12-01-2025;R$52300,00;850;53150;42000km;HIJ1K23; BRUNA CARVALHO ;789-456-123-55;XX
42;59;5940;2011-3;2025-01-10;R$ 88.629,00;1.200,00;89.829,00;120000;ABC1D23;Joao Silva;123.456.789-09;SP
43;59;5940;2021-3;10/01/2025;88629.00;1200.00;89829.00;120.000;ABC1D23;JOAO SILVA;12345678909;SP
44;23;1043;2020-1;2025-03-20;73.500,00;1.000,00;74.500,00;65000;GHI7L89;Carlos Pereira;741.852.963-11;RJ
45;23;1043;2020-1;21/03/2025;73500;1000;74500;65.000;GHI7L89;Carlos Souza;74185296311;RJ
46;44;7710;2017-1;2025-05-11;39.900,00;700,00;40.600,00;87000;MNO9T12;Paulo Mendes;321.654.987-33;SP
47;44;7710;2017-1;12/05/2025;39900;700;40600;87.000;MNO9T12;Pedro Mendes;32165498733;SP
48;22;9120;2019-3;2025-04-05;52.300,00;850,00;53.150,00;42000;JKL2P45;Ana Lima;159.753.486-22;SP
49;21;4828;2018-2;2025/02/16;R$45.990,00;900,00;46.890,00;98000;DEF4K56;Maria Oliveira;987.654.321-00;RJ
50;59;5940;2014-1;07-02-2025;88,629.00;1.200,00;89.829,00;120000km;PQR5S67;Juliana Prado;951-357-258-66;SP
